,type,title,director,cast,country,release year,platform,animation,children & family,entertainment,documentary,thrillers,music & musicals,romance,comedy,drama,horror,sci-fi & fantasy,action & adventure
1541,TV Show,The Ripper,"Ellena Wood, Jesse Vile",not found,United Kingdom,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1542,Movie,Vir Das: Outside In - The Lockdown Special,Vir Das,Vir Das,India,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1543,TV Show,Black Ink Crew New York,not found,"Ceaser Emanuel, Dutchess Lattimore, Puma Robinson, Alex Estevez, Sassy Bermudez",United States,2014,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
1544,Movie,Grizzlies,Miranda de Pencier,"Ben Schnetzer, Emerald MacDonald, Booboo Stewart, Will Sasso, Paul Nutarariaq, Ricky Marty-Pahtaykan, Tantoo Cardinal, Eric Schweig",Canada,2018,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1545,TV Show,Pup Academy,not found,"Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1546,TV Show,Song Exploder,not found,Hrishikesh Hirway,United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1549,Movie,The Professor and the Madman,Farhad Safinia,"Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Steve Coogan, Stephen Dillane, Ioan Gruffudd, Jennifer Ehle, Jeremy Irvine, David O'Hara, Anthony Andrews","Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1550,Movie,A California Christmas,Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer",United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1551,TV Show,Hilda,not found,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States",2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1552,TV Show,Tiny Pretty Things,not found,"Lauren Holly, Kylie Jefferson, Casimere Jollette, Brennan Clost, Barton Cowperthwaite, Bayardo De Murguia, Damon J. Gillespie, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Tory Trowbridge",United States,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1553,Movie,The Netflix Afterparty: The Best Shows of The Worst Year,not found,"David Spade, London Hughes, Fortune Feimster",United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1554,TV Show,Children of Adam,not found,"Maguy Bou Ghosn, Daniella Rahme, Maxim Khalil, Qays Sheikh Najib, Mohamed Yaghy, Rodney Haddad, Nada Abou Farhat",Lebanon,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1555,TV Show,Grizzy et les Lemmings,not found,"Pierre-Alain de Garrigues, Josselin Charier",France,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1556,Movie,A Trash Truck Christmas,Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio",not found,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1557,Movie,Canvas,Frank E. Abney III,not found,United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1558,Movie,Giving Voice,"James D. Stern, Fernando Villena","Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley",United States,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
1559,TV Show,The Mess You Leave Behind,not found,"Inma Cuesta, Bárbara Lennie, Tamar Novas, Arón Piper, Roberto Enríquez, Roque Ruíz, Isabel Garrido, Fede Pérez, Alfonso Agra, Susana Dans, Xavier Estévez, Xosé Antonio Touriñán, María Tasende, Camila Bossa, María Costas, Abril Zamora, Chelo Falcón, Ana Santos, Mela Casal, César Cambeiro",Spain,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1560,Movie,The Prom,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Andrew Rannells, Keegan-Michael Key, Jo Ellen Pellman, Ariana DeBose, Mary Kay Place, Kevin Chamberlin, Tracey Ullman, Logan Riley, Sofia Deler, Nico Greetham, Nathaniel J. Potvin",United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1561,Movie,Torbaaz,Girish Malik,"Sanjay Dutt, Nargis Fakhri, Rahul Dev, Priyanka Verma, Kuwaarjeet Chopraa, Aishan Jawaid Malik, Rahul Mittra, Gavie Chahal, Humayun Shams Khan, Babrak Akbari",India,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1562,TV Show,Alice in Borderland,not found,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",Japan,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1563,Movie,Funny Boy,Deepa Mehta,"Brandon Ingram, Nimmi Harasgama, Ali Kazmi, Arush Nand, Agam Darshi, Rehan Mudannayake, Shivantha Wijesinha, Seema Biswas, Hidaayath Hazeer","Canada, United States",2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1564,TV Show,Futmalls.com,Lai Chun-yu,"Bryan Chang, Eugenie Liu, Bruce He, Ivy Shao, Allison Lin, River Huang, Ting Chun-cheng, Wang Ko-yuan, Phoebe Huang, Chu Chung-heng, Wu Chien-ho, Camille Chalons",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1565,Movie,Just The Way You Are,Theodore Boborol,"Enrique Gil, Liza Soberano, Yves Flores, Sue Ramirez, Erin Ocampo, Yayo Aguila, Alex Diaz, Jon Lucas, Chienna Filomeno, Marco Gumabao, Myrtle Sarrosa, Kyra Custodio, Miguel Vergara, Tonton Gutierrez, Ricky Davao, Sunshine Cruz",Philippines,2016,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1567,Movie,The Panti Sisters,Jun Lana,"Paolo Ballesteros, Martin del Rosario, Christian Bables, John Arcilla, Carmi Martin, Rosanna Roces, Joross Gamboa, Via Antonio, Roxanne Barcelo",Philippines,2019,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1568,Movie,"Kalel, 15",Jun Lana,"Elijah Canlas, Eddie Garcia, Jaclyn Jose, Gabby Padilla, Cedrick Juan, Elora Espano, Sue Prado",Philippines,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1570,TV Show,Once Upon a Time,not found,"Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif",Egypt,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1571,Movie,Rose Island,Sydney Sibilia,"Elio Germano, Matilda De Angelis, Tom Wlaschiha, Luca Zingaretti, Fabrizio Bentivoglio, Leonardo Lidi, François Cluzet",Italy,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1572,TV Show,The Big Show Show,not found,"Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1573,TV Show,The Expanding Universe of Ashley Garcia,not found,"Paulina Chávez, Jencarlos Canela",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1574,TV Show,The Surgeon's Cut,not found,not found,United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1575,Movie,André & his olive tree,Josiah Ng,André Chiang,Singapore,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
1576,Movie,Bobbleheads The Movie,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1577,Movie,Emicida: AmarElo - It’s All For Yesterday,not found,Emicida,Brazil,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
1578,TV Show,Juman,not found,"Nour Al Ghandour, Muhanad Al-Hamdi, Huda El Khateib, Hassan Ibrahim, Abdullah Al-Turkumani, Nasser Kermani, Foaz Al -Shatti, Muhammad Al Dousari, Ahmed El Hozeem, Ghorour, Fatma Al Tabbakh",Kuwait,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1579,TV Show,Mr. Iglesias,not found,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez",United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1580,Movie,Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton","Amber Frank, Bailey Gambertoglio, Sydney Park, Katey Sagal, Rachel Kimsey, Darcy Rose Byrnes, Duncan Joiner, Bella Aboulhosn, Kai Scott",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1581,Movie,Super Monsters: Santa’s Super Monster Helpers,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Rukiya Bernard, Asia Mattu, Elicia MacKenzie",not found,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1582,Movie,Triple 9,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Woody Harrelson, Kate Winslet, Teresa Palmer, Michael Kenneth Williams, Gal Gadot",United States,2016,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1583,TV Show,100 Days My Prince,not found,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1584,Movie,Ava,Tate Taylor,"Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1585,TV Show,Manhunt: Deadly Games,not found,"Cameron Britton, Jack Huston, Judith Light, Carla Gugino, Gethin Anthony, Kelly Jenrette, Arliss Howard, Jay O. Sanders, Nick Searcy, Marley Shelton, Becky Ann Baker, Brad William Henke",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1586,TV Show,Room 2806: The Accusation,Jalil Lespert,not found,France,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1587,TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han",Taiwan,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1588,Movie,Mighty Express: A Mighty Christmas,Clint Butler,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Schombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin, Gracen Daly",Canada,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1589,TV Show,Bhaag Beanie Bhaag,not found,"Swara Bhasker, Dolly Singh, Ravi Patel, Varun Thakur, Mona Ambegaonkar, Girish Kulkarni",India,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1590,TV Show,Big Mouth,not found,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele",United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1591,Movie,Captain Underpants Mega Blissmas,"Erik Kling, Kevin Peaty","Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jim Cummings, Jorge Diaz",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1592,Movie,Christmas Crossfire,Detlev Buck,"Kostja Ullmann, Alli Neumann, Sascha Alexander Gersak, Sophia Thomalla, Merlin Rose, Detlev Buck, Peter Kurth, Anika Mauer, Frederic Linkemann, Bernd Hölscher",Germany,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1593,TV Show,Kings of Jo'Burg,not found,"Shona Ferguson, Zolisa Xaluva, Tsholofelo Matshaba, Sello Sebotsane, Buhle Samuels, Thembi Seete, TK Sebothoma, Cindy Mahlangu, Lunathi Mampofu, Abdul Khoza, Connie Ferguson",South Africa,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1594,Movie,Leyla Everlasting,not found,"Demet Akbağ, Haluk Bilginer, Elçin Sangu, Fırat Tanış, Alican Yücesoy, Emre Kıvılcım, Hakan Eke, İhsan Ceylan, Bimen Zartar",Turkey,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1595,Movie,MANK,David Fincher,"Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann",United States,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1596,TV Show,The Great British Baking Show: Holidays,not found,"Paul Hollywood, Prue Leith, Sandi Toksvig, Noel Fielding",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1597,Movie,You Are My Home,Amanda Raymond,"Alyssa Milano, Angel Parker, Cristián de la Fuente, Eva Ariel Binder, Joel Steingold",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1598,Movie,Between Maybes,Jason Paul Laxamana,"Gerald Anderson, Julia Barretto, Yayo Aguila, Christian Vazquez",Philippines,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1599,Movie,Break,Marc Fouchard,"Sabrina Ouazani, Kévin Mischel, Hassam Ghancy, Slimane, Maxime Pambet, Camille Japy, Christophe Reymond","France, Belgium",2018,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1600,Movie,Chico Bon Bon and the Very Berry Holiday,Darragh O'Connell,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Emma Sloan Jacobs, Joanna Lewis, Matt Mercer, Ian Nikus",not found,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1601,Movie,Just Another Christmas,Roberto Santucci,"Leandro Hassum, Elisa Pinheiro, Danielle Winits, Louise Cardoso, Rodrigo Fagundes, Arianne Botelho, Miguel Rômulo, José Rubens Chachá, Levi Ferreira, Daniel Filho",Brazil,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1603,TV Show,Alien Worlds,not found,not found,United Kingdom,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1604,Movie,Ari Eldjárn: Pardon My Icelandic,August Jakobsson,Ari Eldjárn,Iceland,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1605,TV Show,Check The Store Next Door: The Next Chapter,not found,"Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong",Indonesia,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1606,Movie,Fierce,Anna Wieczur-Bluszcz,"Katarzyna Sawczuk, Maciej Zakościelny, Anita Sokołowska, Julia Kamińska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Michał Piprowski, Urszula Dudziak, Krzysztof Ibisz",Poland,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1607,Movie,Hazel Brugger: Tropical,not found,Hazel Brugger,Germany,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1608,Movie,3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia",2014,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1609,Movie,Angela's Christmas Wish,Damien O’Connor,"Lucy O'Connell, Brendan Mullins, Ruth Negga, Lola Metcalfe, Jared Harris, Moe Dunford, Oscar Butler, Shona Hamill, Pat Kinevane, Janet Moran, Anya O'Connor",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1611,TV Show,Are You The One,not found,Ryan Devlin,United States,2014,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
1612,Movie,Chef,Jon Favreau,"Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters",United States,2014,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1613,Movie,Effie Gray,Richard Laxton,"Dakota Fanning, Emma Thompson, Julie Walters, David Suchet, Derek Jacobi, James Fox, Robbie Coltrane, Claudia Cardinale, Greg Wise, Tom Sturridge",United Kingdom,2014,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1614,TV Show,Gormiti,not found,"Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin","Spain, Italy",2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1617,Movie,Natalie Palamides: Nate - A One Man Show,Phil Burgers,Natalie Palamides,United States,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1618,TV Show,Octonauts,not found,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India",2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1619,TV Show,Oddbods,not found,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi","United Kingdom, Singapore",2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1620,Movie,Peppermint,Pierre Morel,"Jennifer Garner, John Ortiz, John Gallagher Jr., Juan Pablo Raba, Annie Ilonzeh, Jeff Hephner, Pell James, Method Man, Cailey Fleming, Tyson Ritter","Hong Kong, United States",2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1625,TV Show,The Guest,not found,"Kim Dong-wook, Kim Jae-uk, Jung Eun-chae, Ahn Nae-sang, Lee Won-jong, Park Ho-san",South Korea,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1626,Movie,The Happytime Murders,Brian Henson,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Bill Barretta, Leslie David Baker, Joel McHale, Dorien Davies, Cynthy Wu, Michael McDonald, Mitch Silpa","United States, China, Canada",2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1627,TV Show,The Holiday Movies That Made Us,not found,not found,United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1628,TV Show,The Repair Shop,not found,not found,United Kingdom,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1629,Movie,U-Turn,Derick Cabrido,"Kim Chiu, JM de Guzman, Tony Labrusca, Martin del Rosario, Kate Alejandrino, Miel Espinoza, Janella Salvador, Cris Villanueva, Almira Muhlach, Cris Villonco, Mercedes Cabral, Jerry O'Hara, Simon Ibarra, Alex Medina, Markus Paterson",Philippines,2020,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
1630,Movie,Finding Agnes,Marla M. Ancheta,"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Cheska Iñigo, Hannah Ledesma, Yuan Francisco, Raffa Esplana, Varoon Kessop",Philippines,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1631,Movie,Rust Creek,Jen McGowan,"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman, Micah Hauptman, Daniel R. Hill, Jeremy Glazer, John Marshall Jones, Laura Guzman, Jake Kidwell",United States,2018,Netflix,0,0,0,0,1,0,0,0,0,0,0,0
1632,Movie,Spookley and the Christmas Kittens,Bernie Denk,"Vlasta Vrana, Sonja Ball, Craig Francis, Richard C. Jones, Michael Perron, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin, Daniel Brochu",United States,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1633,Movie,The 2nd,Brian Skiba,"Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen, Richard Burgi, William Katt, Samaire Armstrong, William McNamara, Jacob Grodnik",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1634,TV Show,The Uncanny Counter,not found,"Cho Byeong-kyu, Yu Jun-sang, Kim Se-jeong, Yeom Hye-ran, Ahn Seok-hwan, Moon Sook, Choi Yoon-young, Lee Hong-nae",South Korea,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1635,Movie,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo","Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1636,Movie,Dance Dreams: Hot Chocolate Nutcracker,Oliver Bokelberg,Debbie Allen,United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1637,Movie,Don’t Listen,Ángel Gómez Hernández,"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra, Lucas Blas",Spain,2020,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
1638,TV Show,Fabulous Lives of Bollywood Wives,not found,not found,India,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1640,TV Show,Over Christmas,not found,"Luke Mockridge, Seyneb Saleh, Cristina do Rego, Lucas Reiber, Johanna Gastdorf, Rudolf Kowalski, Carmen-Maja Antoni, Eugen Bauder, Jonathan Kwesi Aikins, Martina Eitner-Acheampong, Eike Weinreich, Eskindir Tesfay",Germany,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1641,TV Show,Sugar Rush Christmas,not found,"Hunter March, Candace Nelson, Adriano Zumbo",United States,2020,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
1642,Movie,The Beast,Ludovico Di Martino,"Fabrizio Gifuni, Lino Musella, Monica Piseddu, Andrea Pennacchi, Emanuele Linfatti, Nicolò Galasso, Giacomo Colavito, Giada Gagliardi, Gianmarco Vettori, Silvia Gallerano, Massimiliano Setti",Italy,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1643,Movie,The Call,Lee Chung-hyun,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young",South Korea,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1644,Movie,Fantastica,Barry Gonzalez,"Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla",Philippines,2018,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1645,Movie,Larry the Cable Guy: Remain Seated,Brian Volk-Weiss,Larry the Cable Guy,United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1646,Movie,Mosul,Matthew Michael Carnahan,"Suhail Dabbach, Adam Bessa, Is'haq Elias, Qutaiba Abdelhaq, Ahmad El Ghanem, Hicham Ouarqa, Mohimen Mahbuba, Thaer Al-Shayei, Abdellah Bensaid, Faycal Attougui, Mohamed Attougui, Tarik Belmekki, Hayat Kamille, Seema Al Khalidi, Waleed Algadi",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
1647,Movie,Unexpectedly Yours,Cathy Garcia-Molina,"Sharon Cuneta, Robin Padilla, Julia Barretto, Joshua Garcia, John Estrada, Pilar Pilapil, Marissa Delgado, Maritoni Fernandez",Philippines,2017,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
1648,Movie,Ghosts of War,Eric Bress,"Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson, Billy Zane, Shaun Toub",United Kingdom,2020,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
1649,TV Show,Great Pretender,not found,"Chiaki Kobayashi, Junichi Suwabe, Natsumi Fujiwara, Mie Sonozaki",Japan,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1650,Movie,Shawn Mendes: Live in Concert,Paul Dugdale,Shawn Mendes,"United Kingdom, United States",2020,Netflix,0,0,0,0,0,1,0,0,0,0,0,0
1651,Movie,The Christmas Chronicles: Part Two,Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Jahzir Bruno, Julian Dennison, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson",Canada,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1652,Movie,Andhaghaaram,V Vignarajan,"Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
1653,Movie,Andhakaaram,V Vignarajan,"Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",India,2020,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
1654,TV Show,Before 30,BB Sasore,"Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle",Nigeria,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1655,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith",United States,2020,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
1656,Movie,Hillbilly Elegy,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",United States,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1657,Movie,Notes for My Son,Carlos Sorín,"Valeria Bertuccelli, Esteban Lamothe, Julián Sorín, Mauricio Dayub, Malena Pichot, Catarina Spinetta, Carla Quevedo, Anita Pauls, Mónica Antonópulos, Paola Barrientos, Ana Katz, Romina Richi, Diego Gentile, Beatriz Spelzini, Diego Reinhold",Argentina,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
1658,TV Show,Valentino,not found,"Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin",Egypt,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
1659,Movie,Hard Kill,Matt Eskandari,"Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis",United States,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
