,type,title,director,cast,country,release year,platform,animation,children & family,entertainment,documentary,thrillers,music & musicals,romance,comedy,drama,horror,sci-fi & fantasy,action & adventure
3061,Movie,Jeff Dunham: Unhinged in Hollywood,Michael Simon,Jeff Dunham,United States,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3063,TV Show,Live Up To Your Name,not found,"Kim Nam-gil, Kim Ah-joong, Yoo Min-kyu, Moon Ga-young, Yun Ju-sang, Um Hyo-sup, An Seok-hwan, Lee Dae-yeon, Oh Dae-whan",South Korea,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3064,Movie,Luccas Neto in: Children's Day,Lucas Margutti,"Luccas Neto, Vivian Duarte, Giobanna Alparone, Jéssica Diehl",not found,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3065,TV Show,Messiah,not found,"Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley, Melinda Page Hamilton, Stefania LaVie Owen, Sayyid El Alami, Jane Adams, Wil Traval, Fares Landoulsi",United States,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3066,TV Show,Mia and Me,not found,"Rosabell Laurenti Sellers, Adrian Moore, Saphia Stoney, Josephine Benini, Andrew Craig, Tajja Isen, Rod Wilson, Linda Ballantyne, Jonathan Wilson, Elizabeth Hanna, Norma Dell'Agnese","Netherlands, Germany, Italy, Canada",2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3067,TV Show,"Nisman: The Prosecutor, the President, and the Spy",Justin Webster,not found,"Spain, Germany, Denmark, United States",2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3069,Movie,Pokémon the Movie: Power of Us,Tetsuo Yajima,"Gim Yeong-seon, Ikue Otani, O Inseong, I Sen-ho, Jeong-shin Woo, Sarah Natochenny",Japan,2018,Netflix,1,0,0,0,0,0,0,0,0,0,0,0
3070,Movie,Posesif,Edwin,"Putri Marino, Adipati Dolken, Gritte Agatha, Chicco Kurniawan, Yayu Unru, Cut Mini Theo, Ismail Basbeth, Maulidina K. Putri",Indonesia,2017,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3071,TV Show,Reply 1988,not found,"Lee Hye-ri, Park Bo-gum, Ryu Jun-yeol, Ko Kyoung-pyo, Lee Dong-hwi, Ryu Hye-young, Sung Dong-il, Lee Il-hwa",South Korea,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3072,Movie,Riot,John Lyde,"Matthew Reese, Dolph Lundgren, Danielle Chuchran, Chuck Liddell, Michael Flynn, Renny Grames, Eve Mauro, Melanie Stone, Michaela McAllister, Amy Sturdivant",not found,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3074,TV Show,Save Me,not found,"Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan, Son Byung-ho, Kim Kwang-gyoo, Yun Yoo-sun, Park Ji-young, Jeong Hae-gyoon, Jang Hyeok-jin",South Korea,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3075,TV Show,Spinning Out,not found,"Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir",United States,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3076,TV Show,The Bride of Habaek,not found,"Shin Sae-kyeong, Nam Joo-hyuk, Lim Ju-hwan, Krystal Jung, Gong Myoung, Lee Gyoung-young, Yang Dong-geun",South Korea,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3077,Movie,Aaviri,Ravi Babu,"Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar, Mukhtar Khan, Priya",India,2019,Netflix,0,0,0,0,0,0,0,0,0,1,0,0
3078,Movie,Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,"Nandita Das, Manav Kaul, Saurabh Shukla, Kishore Kadam, Omkar Das Manikpuri, Amarjeet Amle, Yusuf Hussain, Sushma Bakshi",India,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3079,TV Show,ARASHI's Diary -Voyage-,not found,Arashi,Japan,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3080,Movie,Benchwarmers 2: Breaking Balls,Jon Rosenbaum,"Chris Klein, Jon Lovitz, Chelsey Reist, Lochlyn Munro, Liam Hughes, Jill Morrison, Zak Santiago, Garfield Wilson, Jonathan Silverman",United States,2019,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
3081,Movie,How High 2,Bruce Leddy,"Lil Yachty, D.C. Young Fly, Alyssa Goss, DeRay Davis, Mary Lynn Rajskub, Blac Youngsta, Lil Baby, NeNe Leakes, Mike Epps, Al Shearer",United States,2019,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
3082,TV Show,Occupied,not found,"Henrik Mestad, Ane Dahl Torp, Ingeborga Dapkunaite, Eldar Skar, Ragnhild Gudbrandsen, Kristin Braut-Solheim","Norway, Sweden",2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3083,TV Show,Pucca: Love Recipe,not found,"Jeonghwa Yang, Yongwoo Shin, Doug Erholtz, Melissa Fahn, Karen Strassman, Kirk Thornton, Spike Spencer",not found,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3084,TV Show,Rainbow Ruby,not found,"Alyssya Swales, Shannon Chan-Kent, Brian Drummond, Olivia Charles, Kate Higgins, Johnny Yong Bosch","South Korea, Canada, United States, China",2016,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3085,TV Show,Robot Trains,not found,"Bill Rogers, Carrie Savage, Ken Spassione, Angela Mulligan, Mark Szabo, Daniel J. Edwards, Mike Pollock, Anthony Salerno",South Korea,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
